tier,eval_set,score_function,contamination,alpha,quantile,singleton_rate,n_singleton,risk_among_singletons,mean_set_size,empty_set_rate
tier1,benchmark45,aps,clean,0.01,1.000000,0.000000,0,,7.0000,0.000000
tier1,benchmark45,aps,clean,0.05,0.852801,0.000000,0,,4.4667,0.022222
tier1,benchmark45,aps,clean,0.1,0.792017,0.044444,2,0.500000,3.6667,0.022222
tier1,benchmark45,aps,clean,0.2,0.669907,0.022222,1,1.000000,2.5778,0.066667
tier1,benchmark45,lac,clean,0.01,0.954400,0.044444,2,0.500000,6.6000,0.000000
tier1,benchmark45,lac,clean,0.05,0.913485,0.066667,3,0.333333,5.0000,0.000000
tier1,benchmark45,lac,clean,0.1,0.889917,0.088889,4,0.500000,3.4000,0.000000
tier1,benchmark45,lac,clean,0.2,0.865806,0.088889,4,0.500000,2.6667,0.000000
tier1,benchmark45,aps,contaminated,0.01,1.000000,0.000000,0,,7.0000,0.000000
tier1,benchmark45,aps,contaminated,0.05,0.877707,0.000000,0,,4.6444,0.022222
tier1,benchmark45,aps,contaminated,0.1,0.792757,0.044444,2,0.500000,3.6667,0.022222
tier1,benchmark45,aps,contaminated,0.2,0.670221,0.022222,1,1.000000,2.5778,0.066667
tier1,benchmark45,lac,contaminated,0.01,0.955553,0.022222,1,0.000000,6.6667,0.000000
tier1,benchmark45,lac,contaminated,0.05,0.914336,0.066667,3,0.333333,5.0000,0.000000
tier1,benchmark45,lac,contaminated,0.1,0.889948,0.088889,4,0.500000,3.4000,0.000000
tier1,benchmark45,lac,contaminated,0.2,0.866154,0.088889,4,0.500000,2.6889,0.000000
tier1,benchmark45,aps,deployment,0.01,1.000000,0.000000,0,,7.0000,0.000000
tier1,benchmark45,aps,deployment,0.05,0.919619,0.000000,0,,5.2889,0.022222
tier1,benchmark45,aps,deployment,0.1,0.821908,0.000000,0,,4.0222,0.022222
tier1,benchmark45,aps,deployment,0.2,0.732241,0.000000,0,,3.1111,0.066667
tier1,benchmark45,lac,deployment,0.01,0.947007,0.044444,2,0.500000,6.4222,0.000000
tier1,benchmark45,lac,deployment,0.05,0.916214,0.066667,3,0.333333,5.1333,0.000000
tier1,benchmark45,lac,deployment,0.1,0.899810,0.066667,3,0.333333,4.0444,0.000000
tier1,benchmark45,lac,deployment,0.2,0.862224,0.088889,4,0.500000,2.5778,0.000000
tier2,benchmark45,aps,clean,0.01,1.000000,0.000000,0,,6.8444,0.000000
tier2,benchmark45,aps,clean,0.05,0.956303,0.044444,2,0.000000,3.8667,0.000000
tier2,benchmark45,aps,clean,0.1,0.929509,0.155556,7,0.000000,3.1111,0.000000
tier2,benchmark45,aps,clean,0.2,0.877149,0.155556,7,0.285714,2.2444,0.133333
tier2,benchmark45,lac,clean,0.01,0.977107,0.022222,1,0.000000,4.9556,0.000000
tier2,benchmark45,lac,clean,0.05,0.925043,0.133333,6,0.000000,2.6667,0.000000
tier2,benchmark45,lac,clean,0.1,0.847444,0.355556,16,0.000000,1.8667,0.000000
tier2,benchmark45,lac,clean,0.2,0.705586,0.822222,37,0.216216,1.1333,0.022222
tier2,benchmark45,aps,contaminated,0.01,1.000000,0.000000,0,,6.2444,0.000000
tier2,benchmark45,aps,contaminated,0.05,0.958277,0.044444,2,0.000000,3.8667,0.000000
tier2,benchmark45,aps,contaminated,0.1,0.931735,0.155556,7,0.000000,3.1556,0.000000
tier2,benchmark45,aps,contaminated,0.2,0.878157,0.155556,7,0.285714,2.2444,0.133333
tier2,benchmark45,lac,contaminated,0.01,0.977835,0.022222,1,0.000000,5.0444,0.000000
tier2,benchmark45,lac,contaminated,0.05,0.926317,0.133333,6,0.000000,2.6667,0.000000
tier2,benchmark45,lac,contaminated,0.1,0.845394,0.355556,16,0.000000,1.8667,0.000000
tier2,benchmark45,lac,contaminated,0.2,0.703178,0.844444,38,0.236842,1.1111,0.022222
tier2,benchmark45,aps,deployment,0.01,0.980145,0.000000,0,,4.7333,0.000000
tier2,benchmark45,aps,deployment,0.05,0.951690,0.044444,2,0.000000,3.7111,0.000000
tier2,benchmark45,aps,deployment,0.1,0.928836,0.155556,7,0.000000,3.1111,0.000000
tier2,benchmark45,aps,deployment,0.2,0.892835,0.133333,6,0.166667,2.4667,0.111111
tier2,benchmark45,lac,deployment,0.01,0.920878,0.155556,7,0.000000,2.5556,0.000000
tier2,benchmark45,lac,deployment,0.05,0.857234,0.311111,14,0.000000,1.9333,0.000000
tier2,benchmark45,lac,deployment,0.1,0.816827,0.422222,19,0.052632,1.7111,0.000000
tier2,benchmark45,lac,deployment,0.2,0.724346,0.800000,36,0.222222,1.2000,0.000000
tier1,deployment175,aps,clean,0.01,1.000000,0.000000,0,,7.0000,0.000000
tier1,deployment175,aps,clean,0.05,0.852801,0.011429,2,0.000000,4.2400,0.000000
