tier,eval_set,rule,n,live_gate_coverage,aurc,n_points,min_coverage,excess_aurc,risk_at_20,coverage_used_20,risk_at_30,coverage_used_30,risk_at_50,coverage_used_50,risk_at_70,coverage_used_70,risk_at_80,coverage_used_80,risk_at_90,coverage_used_90,degenerate_at_gate,d_aurc_vs_confidence,d_aurc_ci_low,d_aurc_ci_high,d_risk_at_live_gate,d_risk_at_live_ci_low,d_risk_at_live_ci_high,verdict_at_live_gate
tier1,benchmark45,confidence,45,0.088889,0.533892,45,0.022222,0.250932,0.333333,0.200000,0.428571,0.311111,0.608696,0.511111,0.625000,0.711111,0.583333,0.800000,0.609756,0.911111,yes,,,,,,,
tier1,benchmark45,margin,45,0.088889,0.545178,45,0.022222,0.262217,0.444444,0.200000,0.428571,0.311111,0.608696,0.511111,0.625000,0.711111,0.611111,0.800000,0.609756,0.911111,yes,0.011772,-0.026927,0.053811,-0.025508,-0.466667,0.350000,no signal on the gated axis
tier1,benchmark45,lac,45,0.088889,0.593503,45,0.022222,0.310542,0.444444,0.200000,0.571429,0.311111,0.608696,0.511111,0.687500,0.711111,0.694444,0.800000,0.634146,0.911111,yes,0.059914,-0.022912,0.155185,0.031292,-0.400000,0.500000,no signal on the gated axis
tier1,benchmark45,aps,45,0.088889,0.535486,45,0.022222,0.252526,0.444444,0.200000,0.428571,0.311111,0.521739,0.511111,0.531250,0.711111,0.583333,0.800000,0.609756,0.911111,yes,0.001295,-0.043902,0.052141,0.056326,-0.100000,0.500000,no signal on the gated axis
tier2,benchmark45,confidence,45,0.088889,0.162548,45,0.022222,0.122463,0.000000,0.200000,0.071429,0.311111,0.173913,0.511111,0.281250,0.711111,0.277778,0.800000,0.268293,0.911111,yes,,,,,,,
tier2,benchmark45,margin,45,0.088889,0.142095,45,0.022222,0.102011,0.000000,0.200000,0.000000,0.311111,0.173913,0.511111,0.281250,0.711111,0.277778,0.800000,0.243902,0.911111,yes,-0.020681,-0.047672,-0.000557,-0.000345,0.000000,0.000000,no signal on the gated axis
tier2,benchmark45,lac,45,0.088889,0.120863,45,0.022222,0.080779,0.000000,0.200000,0.000000,0.311111,0.173913,0.511111,0.218750,0.711111,0.222222,0.800000,0.243902,0.911111,yes,-0.042136,-0.100304,0.003129,-0.000462,0.000000,0.000000,no signal on the gated axis
tier2,benchmark45,aps,45,0.088889,0.190292,45,0.022222,0.150207,0.111111,0.200000,0.142857,0.311111,0.217391,0.511111,0.250000,0.711111,0.250000,0.800000,0.268293,0.911111,yes,0.027965,-0.017097,0.083854,0.014403,0.000000,0.250000,no signal on the gated axis
tier1,deployment175,confidence,175,0.188571,0.291894,175,0.005714,0.151135,0.200000,0.200000,0.245283,0.302857,0.318182,0.502857,0.390244,0.702857,0.442857,0.800000,0.449367,0.902857,no,,,,,,,
tier1,deployment175,margin,175,0.188571,0.303921,175,0.005714,0.163163,0.228571,0.200000,0.264151,0.302857,0.318182,0.502857,0.422764,0.702857,0.435714,0.800000,0.474684,0.902857,no,0.012064,0.000319,0.024860,0.009151,-0.058824,0.088235,no signal on the gated axis
tier1,deployment175,lac,175,0.188571,0.347287,175,0.005714,0.206528,0.171429,0.200000,0.283019,0.302857,0.409091,0.502857,0.455285,0.702857,0.471429,0.800000,0.474684,0.902857,no,0.055560,0.024242,0.089906,0.008533,-0.090909,0.113191,no signal on the gated axis
tier1,deployment175,aps,175,0.188571,0.289992,175,0.005714,0.149233,0.171429,0.200000,0.226415,0.302857,0.329545,0.502857,0.382114,0.702857,0.414286,0.800000,0.436709,0.902857,no,-0.001835,-0.020135,0.017190,-0.023961,-0.121212,0.067235,no signal on the gated axis
tier2,deployment175,confidence,175,0.188571,0.102556,175,0.005714,0.069350,0.000000,0.200000,0.018868,0.302857,0.113636,0.502857,0.162602,0.702857,0.200000,0.800000,0.215190,0.902857,yes,,,,,,,
tier2,deployment175,margin,175,0.188571,0.100638,175,0.005714,0.067433,0.000000,0.200000,0.018868,0.302857,0.090909,0.502857,0.170732,0.702857,0.185714,0.800000,0.221519,0.902857,yes,-0.001990,-0.010271,0.006262,-0.000244,0.000000,0.000000,no signal on the gated axis
tier2,deployment175,lac,175,0.188571,0.105870,175,0.005714,0.072664,0.000000,0.200000,0.018868,0.302857,0.090909,0.502857,0.178862,0.702857,0.214286,0.800000,0.246835,0.902857,yes,0.003242,-0.016694,0.023577,0.000713,0.000000,0.000000,no signal on the gated axis
tier2,deployment175,aps,175,0.188571,0.115673,175,0.005714,0.082467,0.000000,0.200000,0.113208,0.302857,0.113636,0.502857,0.162602,0.702857,0.207143,0.800000,0.227848,0.902857,yes,0.013266,-0.003659,0.032591,0.010056,0.000000,0.090909,no signal on the gated axis
