signal,test,alpha,window,n_windows,count,rate,ci_low,ci_high,expected_tickets_to_alarm,null_source,exact_marginal,at_conditional_bound,q90_over_references,undefined_p,eligible
A,marginal_binomial,0.01,25,20000,293,0.01465,0.01303071664903989,0.016412523005814354,1706.4846416382252,synthetic_exchangeable_n175,0.015075376884514546,0.04201611626593465,0.05,0,True
A,conditional_binomial,0.01,25,20000,293,0.01465,0.01303071664903989,0.016412523005814354,1706.4846416382252,synthetic_exchangeable_n175,0.015075376884514546,0.04201611626593465,0.05,0,True
A,ks,0.01,25,20000,1546,0.0773,0.07363534991583488,0.08108807616732042,323.41526520051747,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.05,25,20000,710,0.0355,0.03297824032874569,0.038157920268144616,704.2253521126761,synthetic_exchangeable_n175,0.03446196259870893,0.08031451603468483,0.1,0,True
A,conditional_binomial,0.05,25,20000,183,0.00915,0.007877124642671852,0.010568464065288007,2732.24043715847,synthetic_exchangeable_n175,0.00885227026768498,0.022337955168417016,0.05,0,True
A,ks,0.05,25,20000,1553,0.07765,0.0739776330074704,0.08144568863013163,321.9575016097875,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.1,25,20000,812,0.0406,0.03790672469383667,0.04342783469856595,615.7635467980296,synthetic_exchangeable_n175,0.03843120041413162,0.08547004001507633,0.1,0,True
A,conditional_binomial,0.1,25,20000,235,0.01175,0.01030287425269975,0.0133415387777851,2127.659574468085,synthetic_exchangeable_n175,0.012792050322326776,0.030751348172426946,0.05,0,True
A,ks,0.1,25,20000,1587,0.07935,0.07564046341554824,0.08318235118713692,315.05986137366097,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.2,25,20000,1208,0.0604,0.05713749808087445,0.06379099965311108,413.9072847682119,synthetic_exchangeable_n175,0.05683348002087807,0.1180041804191674,0.15,0,False
A,conditional_binomial,0.2,25,20000,203,0.01015,0.008807415342825075,0.01163770236201078,2463.054187192118,synthetic_exchangeable_n175,0.008824700991992396,0.020918239204527206,0.05,0,True
A,ks,0.2,25,20000,1494,0.0747,0.07109338263095198,0.07843081996269352,334.67202141900935,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.01,50,20000,901,0.04505,0.042216762330407505,0.048016417036412976,1109.8779134295228,synthetic_exchangeable_n175,0.04861111111145755,0.13905291574430467,0.15,0,True
A,conditional_binomial,0.01,50,20000,197,0.00985,0.008527941919592488,0.011317314224819823,5076.1421319796955,synthetic_exchangeable_n175,0.010463378176740368,0.02775228275682903,0.05,0,True
A,ks,0.01,50,20000,2110,0.1055,0.10127511358774592,0.10983994550700295,473.93364928909955,synthetic_exchangeable_n175,,,0.2,0,False
A,marginal_binomial,0.05,50,20000,874,0.0437,0.0409083567906376,0.04662523981490313,1144.1647597254005,synthetic_exchangeable_n175,0.04326921211133483,0.11209625643639681,0.15,0,True
A,conditional_binomial,0.05,50,20000,338,0.0169,0.015159106726047145,0.018783283062631224,2958.579881656805,synthetic_exchangeable_n175,0.01723703117074371,0.04599476747259814,0.05,0,True
