signal,test,alpha,window,n_windows,count,rate,ci_low,ci_high,expected_tickets_to_alarm,contaminant,contamination,n_contaminants,reference,saturated,undefined_p
A,marginal_binomial,0.01,25,2000,0,0.0,0.0,0.0018427397934059364,,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,0,0.0,0.0,0.0018427397934059364,,none,0.0,0,leave_one_out_174,False,
A,ks,0.01,25,2000,48,0.024,0.017747484596558137,0.03169569559043114,1041.6666666666667,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,34,0.017,0.011800987897346257,0.023675406227339907,1470.5882352941176,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,2,0.001,0.00012112759055682978,0.0036076285698285315,25000.0,none,0.0,0,leave_one_out_174,False,
A,ks,0.05,25,2000,48,0.024,0.017747484596558137,0.03169569559043114,1041.6666666666667,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,40,0.02,0.014325786914066904,0.02713557726865834,1250.0,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,8,0.004,0.0017284495734761454,0.007866303828537383,6250.0,none,0.0,0,leave_one_out_174,False,
A,ks,0.1,25,2000,48,0.024,0.017747484596558137,0.03169569559043114,1041.6666666666667,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,69,0.0345,0.02694021956764368,0.04346087145229034,724.6376811594203,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,4,0.002,0.0005451931252109997,0.005112808605346209,12500.0,none,0.0,0,leave_one_out_174,False,
A,ks,0.2,25,2000,48,0.024,0.017747484596558137,0.03169569559043114,1041.6666666666667,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,80,0.04,0.03184255731109807,0.04953834224746623,625.0,benchmark,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,80,0.04,0.03184255731109807,0.04953834224746623,625.0,benchmark,0.05,1,leave_one_out_174,False,
A,ks,0.01,25,2000,53,0.0265,0.01991190590797641,0.0345206607875986,943.3962264150944,benchmark,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,109,0.0545,0.04496077079948501,0.06537003226128175,458.7155963302752,benchmark,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,24,0.012,0.0077033433702185005,0.017802731356322096,2083.3333333333335,benchmark,0.05,1,leave_one_out_174,False,
A,ks,0.05,25,2000,53,0.0265,0.01991190590797641,0.0345206607875986,943.3962264150944,benchmark,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,106,0.053,0.043593043592576375,0.06374279299877267,471.6981132075472,benchmark,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,27,0.0135,0.008914927994426228,0.019581403564719605,1851.851851851852,benchmark,0.05,1,leave_one_out_174,False,
A,ks,0.1,25,2000,53,0.0265,0.01991190590797641,0.0345206607875986,943.3962264150944,benchmark,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,125,0.0625,0.0522891206534508,0.07401524078426008,400.0,benchmark,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,10,0.005,0.0024002197556657725,0.009175895070019778,5000.0,benchmark,0.05,1,leave_one_out_174,False,
A,ks,0.2,25,2000,53,0.0265,0.01991190590797641,0.0345206607875986,943.3962264150944,benchmark,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,254,0.127,0.1127118818893527,0.1423912014592442,196.8503937007874,ood,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,254,0.127,0.1127118818893527,0.1423912014592442,196.8503937007874,ood,0.05,1,leave_one_out_174,False,
A,ks,0.01,25,2000,51,0.0255,0.01904401061075201,0.033392744443928375,980.3921568627452,ood,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,155,0.0775,0.06615766717099253,0.09009845658893209,322.5806451612903,ood,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,20,0.01,0.0061186575427434635,0.015402125783560048,2500.0,ood,0.05,1,leave_one_out_174,False,
A,ks,0.05,25,2000,51,0.0255,0.01904401061075201,0.033392744443928375,980.3921568627452,ood,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,121,0.0605,0.050452015093383595,0.07185889950201037,413.22314049586777,ood,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,32,0.016,0.010969061344220803,0.022512711955869413,1562.5,ood,0.05,1,leave_one_out_174,False,
A,ks,0.1,25,2000,51,0.0255,0.01904401061075201,0.033392744443928375,980.3921568627452,ood,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,147,0.0735,0.0624451446560709,0.08582370833307533,340.13605442176873,ood,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,6,0.003,0.0011017182250253473,0.00651821860997453,8333.333333333334,ood,0.05,1,leave_one_out_174,False,
A,ks,0.2,25,2000,51,0.0255,0.01904401061075201,0.033392744443928375,980.3921568627452,ood,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,188,0.094,0.08156253373039694,0.10764182036221447,265.9574468085106,adversarial,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,188,0.094,0.08156253373039694,0.10764182036221447,265.9574468085106,adversarial,0.05,1,leave_one_out_174,False,
A,ks,0.01,25,2000,59,0.0295,0.022530967865735167,0.037889419299191596,847.4576271186442,adversarial,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,174,0.087,0.07501059757841537,0.10021559282641142,287.35632183908046,adversarial,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,28,0.014,0.009322520088783648,0.020170751231794837,1785.7142857142858,adversarial,0.05,1,leave_one_out_174,False,
A,ks,0.05,25,2000,59,0.0295,0.022530967865735167,0.037889419299191596,847.4576271186442,adversarial,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,124,0.062,0.05182954876235306,0.07347644774288987,403.2258064516129,adversarial,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,37,0.0185,0.013058315418332227,0.025410378996541125,1351.3513513513515,adversarial,0.05,1,leave_one_out_174,False,
A,ks,0.1,25,2000,59,0.0295,0.022530967865735167,0.037889419299191596,847.4576271186442,adversarial,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,158,0.079,0.06755226521576754,0.091699105878862,316.45569620253167,adversarial,0.05,1,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,12,0.006,0.0031040162823773266,0.010457313821794881,4166.666666666667,adversarial,0.05,1,leave_one_out_174,False,
A,ks,0.2,25,2000,59,0.0295,0.022530967865735167,0.037889419299191596,847.4576271186442,adversarial,0.05,1,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,327,0.1635,0.14754447528551004,0.18044850459397876,152.9051987767584,benchmark,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,327,0.1635,0.14754447528551004,0.18044850459397876,152.9051987767584,benchmark,0.1,2,leave_one_out_174,False,
A,ks,0.01,25,2000,82,0.041,0.03273891410988625,0.050638403398032175,609.7560975609756,benchmark,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,314,0.157,0.1413176805912543,0.1736948098998535,159.23566878980893,benchmark,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,64,0.032,0.02472928537813548,0.040681319158607475,781.25,benchmark,0.1,2,leave_one_out_174,False,
A,ks,0.05,25,2000,82,0.041,0.03273891410988625,0.050638403398032175,609.7560975609756,benchmark,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,198,0.099,0.08625586097523513,0.11293298928948195,252.5252525252525,benchmark,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,52,0.026,0.01947761724519698,0.03395703472160683,961.5384615384615,benchmark,0.1,2,leave_one_out_174,False,
A,ks,0.1,25,2000,82,0.041,0.03273891410988625,0.050638403398032175,609.7560975609756,benchmark,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,190,0.095,0.08250034161151137,0.10870090591027996,263.1578947368421,benchmark,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,19,0.0095,0.005729035522963454,0.01479583217228858,2631.5789473684213,benchmark,0.1,2,leave_one_out_174,False,
A,ks,0.2,25,2000,82,0.041,0.03273891410988625,0.050638403398032175,609.7560975609756,benchmark,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,1478,0.739,0.7191610679475947,0.7581358619619878,33.82949932341001,ood,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,1478,0.739,0.7191610679475947,0.7581358619619878,33.82949932341001,ood,0.1,2,leave_one_out_174,False,
A,ks,0.01,25,2000,93,0.0465,0.03769282441526969,0.05666517604102989,537.6344086021505,ood,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,496,0.248,0.22920409041614687,0.2675374318283994,100.80645161290323,ood,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,121,0.0605,0.050452015093383595,0.07185889950201037,413.22314049586777,ood,0.1,2,leave_one_out_174,False,
A,ks,0.05,25,2000,93,0.0465,0.03769282441526969,0.05666517604102989,537.6344086021505,ood,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,292,0.146,0.13080220226433079,0.1622433915615934,171.2328767123288,ood,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,86,0.043,0.034535804359735967,0.05283441782903165,581.3953488372093,ood,0.1,2,leave_one_out_174,False,
A,ks,0.1,25,2000,93,0.0465,0.03769282441526969,0.05666517604102989,537.6344086021505,ood,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,270,0.135,0.12031687580999682,0.1507619470133399,185.18518518518516,ood,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,37,0.0185,0.013058315418332227,0.025410378996541125,1351.3513513513515,ood,0.1,2,leave_one_out_174,False,
A,ks,0.2,25,2000,93,0.0465,0.03769282441526969,0.05666517604102989,537.6344086021505,ood,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,1013,0.5065,0.4843428624771095,0.5286380551919352,49.3583415597236,adversarial,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,1013,0.5065,0.4843428624771095,0.5286380551919352,49.3583415597236,adversarial,0.1,2,leave_one_out_174,False,
A,ks,0.01,25,2000,85,0.0425,0.034086074593150856,0.05228591324237417,588.2352941176471,adversarial,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,526,0.263,0.24381380400922764,0.2828833540481674,95.05703422053232,adversarial,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,125,0.0625,0.0522891206534508,0.07401524078426008,400.0,adversarial,0.1,2,leave_one_out_174,False,
A,ks,0.05,25,2000,85,0.0425,0.034086074593150856,0.05228591324237417,588.2352941176471,adversarial,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,304,0.152,0.13653435611168546,0.1684931672154846,164.47368421052633,adversarial,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,106,0.053,0.043593043592576375,0.06374279299877267,471.6981132075472,adversarial,0.1,2,leave_one_out_174,False,
A,ks,0.1,25,2000,85,0.0425,0.034086074593150856,0.05228591324237417,588.2352941176471,adversarial,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,286,0.143,0.127939456900426,0.1591151859145665,174.82517482517483,adversarial,0.1,2,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,34,0.017,0.011800987897346257,0.023675406227339907,1470.5882352941176,adversarial,0.1,2,leave_one_out_174,False,
A,ks,0.2,25,2000,85,0.0425,0.034086074593150856,0.05228591324237417,588.2352941176471,adversarial,0.1,2,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,1367,0.6835,0.6626080225587281,0.7038526749310473,36.5764447695684,benchmark,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,1367,0.6835,0.6626080225587281,0.7038526749310473,36.5764447695684,benchmark,0.25,6,leave_one_out_174,False,
A,ks,0.01,25,2000,425,0.2125,0.1947534802204193,0.23109330082086088,117.64705882352942,benchmark,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,1622,0.811,0.7931405609458613,0.8279427087449167,30.826140567200984,benchmark,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,1128,0.564,0.5419366259066201,0.5858754638315211,44.326241134751776,benchmark,0.25,6,leave_one_out_174,False,
A,ks,0.05,25,2000,425,0.2125,0.1947534802204193,0.23109330082086088,117.64705882352942,benchmark,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,1293,0.6465,0.6250958574731245,0.6674737662823103,38.669760247486465,benchmark,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,794,0.397,0.3754711928208041,0.41883128586285434,62.97229219143576,benchmark,0.25,6,leave_one_out_174,False,
A,ks,0.1,25,2000,425,0.2125,0.1947534802204193,0.23109330082086088,117.64705882352942,benchmark,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,866,0.433,0.4111462930782045,0.4550504278116715,57.736720554272516,benchmark,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,247,0.1235,0.10939058389233222,0.13872314199870983,202.42914979757086,benchmark,0.25,6,leave_one_out_174,False,
A,ks,0.2,25,2000,425,0.2125,0.1947534802204193,0.23109330082086088,117.64705882352942,benchmark,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.25,6,leave_one_out_174,True,
A,conditional_binomial,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.25,6,leave_one_out_174,True,
A,ks,0.01,25,2000,980,0.49,0.46786961053014575,0.5121597469520085,51.02040816326531,ood,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.25,6,leave_one_out_174,True,
A,conditional_binomial,0.05,25,2000,1970,0.985,0.9786553324889212,0.9898572817087236,25.380710659898476,ood,0.25,6,leave_one_out_174,False,
A,ks,0.05,25,2000,980,0.49,0.46786961053014575,0.5121597469520085,51.02040816326531,ood,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,1967,0.9835,0.9769053016761622,0.9886156416197649,25.41942043721403,ood,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,1700,0.85,0.8335891273480229,0.8653773297392594,29.411764705882355,ood,0.25,6,leave_one_out_174,False,
A,ks,0.1,25,2000,980,0.49,0.46786961053014575,0.5121597469520085,51.02040816326531,ood,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,1588,0.794,0.7756003758685431,0.8115335207441604,31.48614609571788,ood,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,638,0.319,0.29860081118564374,0.3399311262504021,78.36990595611285,ood,0.25,6,leave_one_out_174,False,
A,ks,0.2,25,2000,980,0.49,0.46786961053014575,0.5121597469520085,51.02040816326531,ood,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,1974,0.987,0.9810096506617758,0.9914908696084256,25.329280648429584,adversarial,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,1974,0.987,0.9810096506617758,0.9914908696084256,25.329280648429584,adversarial,0.25,6,leave_one_out_174,False,
A,ks,0.01,25,2000,1056,0.528,0.5058437964798472,0.5500740009110707,47.348484848484844,adversarial,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.25,6,leave_one_out_174,True,
A,conditional_binomial,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.25,6,leave_one_out_174,True,
A,ks,0.05,25,2000,1056,0.528,0.5058437964798472,0.5500740009110707,47.348484848484844,adversarial,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.25,6,leave_one_out_174,True,
A,conditional_binomial,0.1,25,2000,1766,0.883,0.8680990251887973,0.8967674323252864,28.312570781426952,adversarial,0.25,6,leave_one_out_174,False,
A,ks,0.1,25,2000,1056,0.528,0.5058437964798472,0.5500740009110707,47.348484848484844,adversarial,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,1567,0.7835,0.7647908794495349,0.8013742216018942,31.90810465858328,adversarial,0.25,6,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,665,0.3325,0.311861210123052,0.35363096979069963,75.18796992481202,adversarial,0.25,6,leave_one_out_174,False,
A,ks,0.2,25,2000,1056,0.528,0.5058437964798472,0.5500740009110707,47.348484848484844,adversarial,0.25,6,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,1890,0.945,0.9340880218000128,0.9545828470785103,26.455026455026456,benchmark,0.5,12,leave_one_out_174,False,
A,conditional_binomial,0.01,25,2000,1890,0.945,0.9340880218000128,0.9545828470785103,26.455026455026456,benchmark,0.5,12,leave_one_out_174,False,
A,ks,0.01,25,2000,1788,0.894,0.8796764040218117,0.9071563396494606,27.96420581655481,benchmark,0.5,12,leave_one_out_174,False,
A,marginal_binomial,0.05,25,2000,1992,0.996,0.9921336961714626,0.9982715504265238,25.100401606425702,benchmark,0.5,12,leave_one_out_174,False,
A,conditional_binomial,0.05,25,2000,1955,0.9775,0.9700080674226914,0.9835421317874048,25.57544757033248,benchmark,0.5,12,leave_one_out_174,False,
A,ks,0.05,25,2000,1788,0.894,0.8796764040218117,0.9071563396494606,27.96420581655481,benchmark,0.5,12,leave_one_out_174,False,
A,marginal_binomial,0.1,25,2000,1978,0.989,0.983392983598715,0.9930938772116712,25.278058645096056,benchmark,0.5,12,leave_one_out_174,False,
A,conditional_binomial,0.1,25,2000,1916,0.958,0.9482629202815104,0.9663633208869061,26.096033402922757,benchmark,0.5,12,leave_one_out_174,False,
A,ks,0.1,25,2000,1788,0.894,0.8796764040218117,0.9071563396494606,27.96420581655481,benchmark,0.5,12,leave_one_out_174,False,
A,marginal_binomial,0.2,25,2000,1824,0.912,0.8987221171295272,0.9240548222412835,27.412280701754383,benchmark,0.5,12,leave_one_out_174,False,
A,conditional_binomial,0.2,25,2000,1367,0.6835,0.6626080225587281,0.7038526749310473,36.5764447695684,benchmark,0.5,12,leave_one_out_174,False,
A,ks,0.2,25,2000,1788,0.894,0.8796764040218117,0.9071563396494606,27.96420581655481,benchmark,0.5,12,leave_one_out_174,False,
A,marginal_binomial,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,ks,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
