queue,n_answers_in_queue,n_scored,sampled,sample_cap,clustering_model,clustering_threshold,mean_pairwise_similarity,median_pairwise_similarity,p95_pairwise_similarity,frac_pairs_at_or_above_threshold,n_clusters,n_singleton_clusters,largest_cluster,frac_in_largest_cluster,distinct_answer_rate
Technical Support,8147,1500,True,1500,all-MiniLM-L6-v2,0.8,0.2538706362247467,0.23855167627334595,0.5460100769996643,0.0015734934400711586,819,646,209,0.13933333333333334,0.546
Product Support,5302,1500,True,1500,all-MiniLM-L6-v2,0.8,0.2364308387041092,0.2113639861345291,0.5474408268928528,0.0021525461418723593,698,489,190,0.12666666666666668,0.4653333333333333
Customer Service,4269,1500,True,1500,all-MiniLM-L6-v2,0.8,0.23151911795139313,0.20222049951553345,0.5665584206581116,0.003089170558149878,631,410,186,0.124,0.4206666666666667
IT Support,3333,1500,True,1500,all-MiniLM-L6-v2,0.8,0.25088825821876526,0.23137517273426056,0.5479815602302551,0.002417611741160774,652,391,173,0.11533333333333333,0.43466666666666665
Billing and Payments,2896,1500,True,1500,all-MiniLM-L6-v2,0.8,0.2977451682090759,0.26295197010040283,0.6672888398170471,0.007501000667111408,398,225,464,0.30933333333333335,0.2653333333333333
Returns and Exchanges,1402,1402,False,,all-MiniLM-L6-v2,0.8,0.24733316898345947,0.217577263712883,0.5932424068450928,0.0035933167769913684,383,140,181,0.1291012838801712,0.2731811697574893
Service Outages and Maintenance,1106,1106,False,,all-MiniLM-L6-v2,0.8,0.33623531460762024,0.3259251117706299,0.6591780185699463,0.004899642427564989,290,96,349,0.3155515370705244,0.26220614828209765
Sales and Pre-Sales,843,843,False,,all-MiniLM-L6-v2,0.8,0.2590349018573761,0.22680255770683289,0.6025418639183044,0.007252685945173752,238,74,96,0.11387900355871886,0.2823250296559905
Human Resources,553,553,False,,all-MiniLM-L6-v2,0.8,0.23759077489376068,0.2124822735786438,0.5466834306716919,0.0064470477238776636,178,58,75,0.13562386980108498,0.321880650994575
General Inquiry,404,404,False,,all-MiniLM-L6-v2,0.8,0.2569245994091034,0.22763991355895996,0.6049160957336426,0.00830405621207282,134,47,36,0.0891089108910891,0.3316831683168317
