alpha,n_calibration,n_test,quantile,degenerate,coverage_calibration,coverage_test,coverage_gap,coverage_sd,noise_band_2sd,gap_outside_band,gap_in_sd,mean_set_size,singleton_rate,empty_rate,full_rate,design,variant,held_out_queue,tier,n_test_classes,domain_auc,blocked_degenerate_auc,score_function,post_hoc,status
0.05,1215,10441,0.9696369746879614,False,0.951440329218107,0.9573795613446988,0.0073795613446988595,0.006252571487457086,0.012505142974914172,False,1.180244217839422,7.009673402930754,0.0030648405325160426,0.0,0.00038310506656450533,B,full_test,Billing and Payments,tier1,10,0.856620879304956,False,lac,False,ok
0.1,1215,10441,0.948521128562455,False,0.9012345679012346,0.8960827506943779,-0.003917249305622095,0.008606629658238704,0.01721325931647741,False,-0.45514323970850823,4.936691887750215,0.007853653864572359,0.0,0.0,B,full_test,Billing and Payments,tier1,10,0.856620879304956,False,lac,False,ok
0.2,1215,10441,0.8983495381480777,False,0.8008230452674897,0.7737764581936596,-0.026223541806340456,0.011475506210984941,0.022951012421969882,True,-2.285175165626937,3.4524470836126806,0.025859591993104107,0.0,0.0,B,full_test,Billing and Payments,tier1,10,0.856620879304956,False,lac,False,ok
0.05,1215,10441,0.9730738680809736,False,0.951440329218107,0.9569964562781342,0.006996456278134278,0.006252571487457086,0.012505142974914172,False,1.1189726166537168,6.774734220860071,0.0030648405325160426,0.0,0.000574657599846758,B,full_test,Billing and Payments,tier2,10,0.856620879304956,False,lac,False,ok
0.1,1215,10441,0.948127768933773,False,0.9012345679012346,0.8928263576285796,-0.0071736423714203745,0.008606629658238704,0.01721325931647741,False,-0.8335019230847698,4.873575328033713,0.018293266928455128,0.0,0.0,B,full_test,Billing and Payments,tier2,10,0.856620879304956,False,lac,False,ok
0.2,1215,10441,0.898155927658081,False,0.8008230452674897,0.7861315965903649,-0.013868403409635133,0.011475506210984941,0.022951012421969882,False,-1.2085221474900678,3.4826166076046357,0.040800689589119817,0.0,0.0,B,full_test,Billing and Payments,tier2,10,0.856620879304956,False,lac,False,ok
0.05,1153,10441,0.9710000493627352,False,0.9514310494362532,0.9604444018772148,0.010444401877214848,0.006418479392373314,0.012836958784746628,False,1.6272392943452139,7.1875299300833255,0.0025859591993104107,0.0,0.0008619863997701369,B,full_test,Customer Service,tier1,10,0.8425478048586394,False,lac,False,ok
0.1,1153,10441,0.9537186627367508,False,0.9011274934952298,0.9126520448232928,0.01265204482329274,0.008835000960806407,0.017670001921612815,False,1.432036609777339,5.3060051719183985,0.006321233598314338,0.0,0.0,B,full_test,Customer Service,tier1,10,0.8425478048586394,False,lac,False,ok
0.2,1153,10441,0.8997136573141282,False,0.8013876843018214,0.7776075088593046,-0.022392491140695414,0.01178000128107521,0.02356000256215042,False,-1.9008903824712962,3.4826166076046357,0.024422947993487213,0.0,0.0,B,full_test,Customer Service,tier1,10,0.8425478048586394,False,lac,False,ok
0.05,1153,10441,0.9748900663107634,False,0.9514310494362532,0.9626472560099607,0.01264725600996075,0.006418479392373314,0.012836958784746628,False,1.9704442807729055,7.021358107460971,0.0022028541327459056,0.0,0.004405708265491811,B,full_test,Customer Service,tier2,10,0.8425478048586394,False,lac,False,ok
0.1,1153,10441,0.9529190361499786,False,0.9011274934952298,0.9066181400249018,0.006618140024901797,0.008835000960806407,0.017670001921612815,False,0.7490819813445422,5.150464514893209,0.015228426395939087,0.0,0.0,B,full_test,Customer Service,tier2,10,0.8425478048586394,False,lac,False,ok
0.2,1153,10441,0.8978467360138893,False,0.8013876843018214,0.7853653864572359,-0.014634613542764185,0.01178000128107521,0.02356000256215042,False,-1.2423269907682406,3.4761995977396802,0.04089646585576094,0.0,0.0,B,full_test,Customer Service,tier2,10,0.8425478048586394,False,lac,False,ok
0.05,1305,10441,0.9602399859168559,False,0.9509578544061302,0.9329566133512116,-0.01704338664878835,0.006033114240004924,0.012066228480009848,True,-2.8249733008162696,5.884110717364237,0.005459247198544201,0.0,0.0,B,full_test,General Inquiry,tier1,10,0.8412945428444671,False,lac,False,ok
0.1,1305,10441,0.9434754996234292,False,0.9011494252873563,0.882482520831338,-0.017517479168661976,0.008304547985373997,0.016609095970747993,True,-2.1093838219146703,4.657216741691409,0.00967340293075376,0.0,0.0,B,full_test,General Inquiry,tier1,10,0.8412945428444671,False,lac,False,ok
