threshold,n_proceed,n_escalate,tp,fp,fn,tn,precision,recall,f1
0.85,2,173,2,0,115,58,1.0,0.017094017094017096,0.033613445378151266
0.8,15,160,14,1,103,57,0.9333333333333333,0.11965811965811966,0.21212121212121213
0.75,95,80,70,25,47,33,0.7368421052631579,0.5982905982905983,0.660377358490566
0.7,168,7,112,56,5,2,0.6666666666666666,0.9572649572649573,0.7859649122807018
0.65,175,0,117,58,0,0,0.6685714285714286,1.0,0.8013698630136986
0.6,175,0,117,58,0,0,0.6685714285714286,1.0,0.8013698630136986
0.55,175,0,117,58,0,0,0.6685714285714286,1.0,0.8013698630136986
0.5,175,0,117,58,0,0,0.6685714285714286,1.0,0.8013698630136986
0.45,175,0,117,58,0,0,0.6685714285714286,1.0,0.8013698630136986
0.4,175,0,117,58,0,0,0.6685714285714286,1.0,0.8013698630136986
0.35,175,0,117,58,0,0,0.6685714285714286,1.0,0.8013698630136986
