threshold,n_in_domain_proceed,n_in_domain_escalate,tp,fp_combined,fn,tn_combined,fp_in_domain,fp_ood,tn_in_domain,tn_ood,ood_leakage_rate,precision_combined,recall_combined,f1_combined,precision_exact_source,recall_exact_source,f1_exact_source
0.85,2,173,2,0,115,103,0,0,58,45,0.0,1.0,0.017094017094017096,0.033613445378151266,0.5,0.1,0.16666666666666669
0.8,15,160,14,1,103,102,1,0,57,45,0.0,0.9333333333333333,0.11965811965811966,0.21212121212121213,0.2,0.3,0.24
0.75,95,80,70,25,47,78,25,0,33,45,0.0,0.7368421052631579,0.5982905982905983,0.660377358490566,0.07368421052631578,0.7,0.1333333333333333
0.7,168,7,112,58,5,45,56,2,2,43,0.044444444444444446,0.6588235294117647,0.9572649572649573,0.7804878048780487,0.05357142857142857,0.9,0.10112359550561796
0.69,172,3,114,61,3,42,58,3,0,42,0.06666666666666667,0.6514285714285715,0.9743589743589743,0.7808219178082192,0.05232558139534884,0.9,0.09890109890109891
0.68,174,1,116,64,1,39,58,6,0,39,0.13333333333333333,0.6444444444444445,0.9914529914529915,0.7811447811447813,0.05172413793103448,0.9,0.09782608695652174
0.67,175,0,117,64,0,39,58,6,0,39,0.13333333333333333,0.6464088397790055,1.0,0.785234899328859,0.05714285714285714,1.0,0.1081081081081081
0.66,175,0,117,67,0,36,58,9,0,36,0.2,0.6358695652173914,1.0,0.7774086378737541,0.05714285714285714,1.0,0.1081081081081081
0.65,175,0,117,75,0,28,58,17,0,28,0.37777777777777777,0.609375,1.0,0.7572815533980582,0.05714285714285714,1.0,0.1081081081081081
0.64,175,0,117,78,0,25,58,20,0,25,0.4444444444444444,0.6,1.0,0.7499999999999999,0.05714285714285714,1.0,0.1081081081081081
0.63,175,0,117,82,0,21,58,24,0,21,0.5333333333333333,0.5879396984924623,1.0,0.740506329113924,0.05714285714285714,1.0,0.1081081081081081
0.62,175,0,117,85,0,18,58,27,0,18,0.6,0.5792079207920792,1.0,0.7335423197492162,0.05714285714285714,1.0,0.1081081081081081
0.61,175,0,117,89,0,14,58,31,0,14,0.6888888888888889,0.5679611650485437,1.0,0.7244582043343653,0.05714285714285714,1.0,0.1081081081081081
0.6,175,0,117,94,0,9,58,36,0,9,0.8,0.5545023696682464,1.0,0.7134146341463413,0.05714285714285714,1.0,0.1081081081081081
0.55,175,0,117,101,0,2,58,43,0,2,0.9555555555555556,0.536697247706422,1.0,0.6985074626865672,0.05714285714285714,1.0,0.1081081081081081
0.5,175,0,117,103,0,0,58,45,0,0,1.0,0.5318181818181819,1.0,0.6943620178041544,0.05714285714285714,1.0,0.1081081081081081
0.45,175,0,117,103,0,0,58,45,0,0,1.0,0.5318181818181819,1.0,0.6943620178041544,0.05714285714285714,1.0,0.1081081081081081
0.4,175,0,117,103,0,0,58,45,0,0,1.0,0.5318181818181819,1.0,0.6943620178041544,0.05714285714285714,1.0,0.1081081081081081
0.35,175,0,117,103,0,0,58,45,0,0,1.0,0.5318181818181819,1.0,0.6943620178041544,0.05714285714285714,1.0,0.1081081081081081
