category,threshold,n_tickets,n_clusters,tp,fp,fn,precision,recall,f1
Infrastructure,0.99,115,111,4,0,737,1.0,0.005398110661268556,0.010738255033557046
Infrastructure,0.95,115,74,98,0,643,1.0,0.13225371120107962,0.23361144219308702
Infrastructure,0.9,115,47,253,0,488,1.0,0.34143049932523617,0.5090543259557344
Infrastructure,0.85,115,30,342,0,399,1.0,0.46153846153846156,0.631578947368421
Infrastructure,0.8,115,25,402,0,339,1.0,0.5425101214574899,0.7034120734908137
Infrastructure,0.75,115,17,458,246,283,0.6505681818181818,0.6180836707152496,0.6339100346020761
Infrastructure,0.7,115,5,708,2536,33,0.218249075215783,0.9554655870445344,0.35533249686323715
Infrastructure,0.65,115,2,741,4068,0,0.15408608858390518,1.0,0.267027027027027
Infrastructure,0.6,115,1,741,5814,0,0.11304347826086956,1.0,0.203125
Application,0.99,100,93,7,0,548,1.0,0.012612612612612612,0.024911032028469747
Application,0.95,100,82,22,0,533,1.0,0.03963963963963964,0.07625649913344887
Application,0.9,100,68,46,0,509,1.0,0.08288288288288288,0.15307820299500832
Application,0.85,100,50,113,0,442,1.0,0.2036036036036036,0.3383233532934132
Application,0.8,100,33,277,0,278,1.0,0.4990990990990991,0.6658653846153846
Application,0.75,100,20,401,104,154,0.7940594059405941,0.7225225225225225,0.7566037735849056
Application,0.7,100,11,524,117,31,0.8174726989079563,0.9441441441441442,0.8762541806020067
Application,0.65,100,8,544,406,11,0.5726315789473684,0.9801801801801802,0.7229235880398671
Application,0.6,100,4,555,2127,0,0.20693512304250558,1.0,0.3429101019462465
Security,0.99,61,60,1,0,208,1.0,0.004784688995215311,0.009523809523809525
Security,0.95,61,46,30,0,179,1.0,0.14354066985645933,0.2510460251046025
Security,0.9,61,34,97,0,112,1.0,0.46411483253588515,0.6339869281045752
Security,0.85,61,18,157,0,52,1.0,0.7511961722488039,0.8579234972677596
Security,0.8,61,14,182,0,27,1.0,0.8708133971291866,0.9309462915601023
Security,0.75,61,12,189,52,20,0.7842323651452282,0.9043062200956937,0.8400000000000001
Security,0.7,61,10,204,52,5,0.796875,0.9760765550239234,0.8774193548387097
Security,0.65,61,7,206,269,3,0.4336842105263158,0.9856459330143541,0.6023391812865497
Security,0.6,61,4,209,743,0,0.21953781512605042,1.0,0.3600344530577088
Database,0.99,49,49,0,0,85,,0.0,
Database,0.95,49,47,2,0,83,1.0,0.023529411764705882,0.04597701149425288
Database,0.9,49,42,7,0,78,1.0,0.08235294117647059,0.15217391304347827
Database,0.85,49,36,21,0,64,1.0,0.24705882352941178,0.39622641509433965
Database,0.8,49,32,34,0,51,1.0,0.4,0.5714285714285715
Database,0.75,49,26,53,0,32,1.0,0.6235294117647059,0.7681159420289855
Database,0.7,49,21,67,0,18,1.0,0.788235294117647,0.8815789473684211
Database,0.65,49,10,75,200,10,0.2727272727272727,0.8823529411764706,0.41666666666666663
Database,0.6,49,5,79,786,6,0.09132947976878612,0.9294117647058824,0.16631578947368422
Storage,0.99,53,51,2,0,152,1.0,0.012987012987012988,0.025641025641025647
Storage,0.95,53,41,17,0,137,1.0,0.11038961038961038,0.1988304093567251
Storage,0.9,53,31,64,0,90,1.0,0.4155844155844156,0.5871559633027523
Storage,0.85,53,24,81,0,73,1.0,0.525974025974026,0.6893617021276596
Storage,0.8,53,18,101,0,53,1.0,0.6558441558441559,0.7921568627450981
Storage,0.75,53,13,128,0,26,1.0,0.8311688311688312,0.9078014184397163
Storage,0.7,53,7,154,95,0,0.6184738955823293,1.0,0.7642679900744417
Storage,0.65,53,6,154,265,0,0.36754176610978523,1.0,0.537521815008726
Storage,0.6,53,6,154,265,0,0.36754176610978523,1.0,0.537521815008726
Network,0.99,74,74,0,0,312,,0.0,
Network,0.95,74,66,8,0,304,1.0,0.02564102564102564,0.05
Network,0.9,74,59,18,0,294,1.0,0.057692307692307696,0.1090909090909091
Network,0.85,74,50,47,0,265,1.0,0.15064102564102563,0.2618384401114206
Network,0.8,74,37,125,0,187,1.0,0.40064102564102566,0.5720823798627003
Network,0.75,74,25,179,0,133,1.0,0.5737179487179487,0.7291242362525457
Network,0.7,74,10,250,686,62,0.2670940170940171,0.8012820512820513,0.40064102564102566
Network,0.65,74,6,308,908,4,0.2532894736842105,0.9871794871794872,0.40314136125654443
Network,0.6,74,4,312,1004,0,0.23708206686930092,1.0,0.3832923832923833
Access Management,0.99,48,48,0,0,116,,0.0,
Access Management,0.95,48,46,2,0,114,1.0,0.017241379310344827,0.03389830508474576
Access Management,0.9,48,40,11,0,105,1.0,0.09482758620689655,0.1732283464566929
Access Management,0.85,48,36,19,0,97,1.0,0.16379310344827586,0.2814814814814815
Access Management,0.8,48,28,46,0,70,1.0,0.39655172413793105,0.5679012345679012
Access Management,0.75,48,22,62,53,54,0.5391304347826087,0.5344827586206896,0.5367965367965368
Access Management,0.7,48,14,81,61,35,0.5704225352112676,0.6982758620689655,0.627906976744186
Access Management,0.65,48,7,100,480,16,0.1724137931034483,0.8620689655172413,0.2873563218390805
Access Management,0.6,48,2,116,877,0,0.11681772406847936,1.0,0.20919747520288548
