category,threshold,n_tickets,n_clusters,tp,fp,fn,precision,recall,f1
Infrastructure,0.99,115,111,4,0,737,1.0000,0.0054,0.0107
Infrastructure,0.95,115,74,98,0,643,1.0000,0.1323,0.2336
Infrastructure,0.90,115,47,253,0,488,1.0000,0.3414,0.5091
Infrastructure,0.85,115,30,342,0,399,1.0000,0.4615,0.6316
Infrastructure,0.80,115,25,402,0,339,1.0000,0.5425,0.7034
Infrastructure,0.75,115,17,458,246,283,0.6506,0.6181,0.6339
Infrastructure,0.70,115,5,708,2536,33,0.2182,0.9555,0.3553
Infrastructure,0.65,115,2,741,4068,0,0.1541,1.0000,0.2670
Infrastructure,0.60,115,1,741,5814,0,0.1130,1.0000,0.2031
Application,0.99,100,93,7,0,548,1.0000,0.0126,0.0249
Application,0.95,100,82,22,0,533,1.0000,0.0396,0.0763
Application,0.90,100,68,46,0,509,1.0000,0.0829,0.1531
Application,0.85,100,50,113,0,442,1.0000,0.2036,0.3383
Application,0.80,100,33,277,0,278,1.0000,0.4991,0.6659
Application,0.75,100,20,401,104,154,0.7941,0.7225,0.7566
Application,0.70,100,11,524,117,31,0.8175,0.9441,0.8763
Application,0.65,100,8,544,406,11,0.5726,0.9802,0.7229
Application,0.60,100,4,555,2127,0,0.2069,1.0000,0.3429
Security,0.99,61,60,1,0,208,1.0000,0.0048,0.0095
Security,0.95,61,46,30,0,179,1.0000,0.1435,0.2510
Security,0.90,61,34,97,0,112,1.0000,0.4641,0.6340
Security,0.85,61,18,157,0,52,1.0000,0.7512,0.8579
Security,0.80,61,14,182,0,27,1.0000,0.8708,0.9309
Security,0.75,61,12,189,52,20,0.7842,0.9043,0.8400
Security,0.70,61,10,204,52,5,0.7969,0.9761,0.8774
Security,0.65,61,7,206,269,3,0.4337,0.9856,0.6023
Security,0.60,61,4,209,743,0,0.2195,1.0000,0.3600
Database,0.99,49,49,0,0,85,N/A,0.0000,N/A
Database,0.95,49,47,2,0,83,1.0000,0.0235,0.0460
Database,0.90,49,42,7,0,78,1.0000,0.0824,0.1522
Database,0.85,49,36,21,0,64,1.0000,0.2471,0.3962
Database,0.80,49,32,34,0,51,1.0000,0.4000,0.5714
Database,0.75,49,26,53,0,32,1.0000,0.6235,0.7681
Database,0.70,49,21,67,0,18,1.0000,0.7882,0.8816
Database,0.65,49,10,75,200,10,0.2727,0.8824,0.4167
Database,0.60,49,5,79,786,6,0.0913,0.9294,0.1663
Storage,0.99,53,51,2,0,152,1.0000,0.0130,0.0256
Storage,0.95,53,41,17,0,137,1.0000,0.1104,0.1988
Storage,0.90,53,31,64,0,90,1.0000,0.4156,0.5872
Storage,0.85,53,24,81,0,73,1.0000,0.5260,0.6894
Storage,0.80,53,18,101,0,53,1.0000,0.6558,0.7922
Storage,0.75,53,13,128,0,26,1.0000,0.8312,0.9078
Storage,0.70,53,7,154,95,0,0.6185,1.0000,0.7643
Storage,0.65,53,6,154,265,0,0.3675,1.0000,0.5375
Storage,0.60,53,6,154,265,0,0.3675,1.0000,0.5375
Network,0.99,74,74,0,0,312,N/A,0.0000,N/A
Network,0.95,74,66,8,0,304,1.0000,0.0256,0.0500
Network,0.90,74,59,18,0,294,1.0000,0.0577,0.1091
Network,0.85,74,50,47,0,265,1.0000,0.1506,0.2618
Network,0.80,74,37,125,0,187,1.0000,0.4006,0.5721
Network,0.75,74,25,179,0,133,1.0000,0.5737,0.7291
Network,0.70,74,10,250,686,62,0.2671,0.8013,0.4006
Network,0.65,74,6,308,908,4,0.2533,0.9872,0.4031
Network,0.60,74,4,312,1004,0,0.2371,1.0000,0.3833
Access Management,0.99,48,48,0,0,116,N/A,0.0000,N/A
Access Management,0.95,48,46,2,0,114,1.0000,0.0172,0.0339
Access Management,0.90,48,40,11,0,105,1.0000,0.0948,0.1732
Access Management,0.85,48,36,19,0,97,1.0000,0.1638,0.2815
Access Management,0.80,48,28,46,0,70,1.0000,0.3966,0.5679
Access Management,0.75,48,22,62,53,54,0.5391,0.5345,0.5368
Access Management,0.70,48,14,81,61,35,0.5704,0.6983,0.6279
Access Management,0.65,48,7,100,480,16,0.1724,0.8621,0.2874
Access Management,0.60,48,2,116,877,0,0.1168,1.0000,0.2092
ALL (aggregated),0.99,,,14,0,2158,1.0000,0.0064,0.0128
ALL (aggregated),0.95,,,179,0,1993,1.0000,0.0824,0.1523
ALL (aggregated),0.90,,,496,0,1676,1.0000,0.2284,0.3718
ALL (aggregated),0.85,,,780,0,1392,1.0000,0.3591,0.5285
ALL (aggregated),0.80,,,1167,0,1005,1.0000,0.5373,0.6990
ALL (aggregated),0.75,,,1470,455,702,0.7636,0.6768,0.7176
ALL (aggregated),0.70,,,1988,3547,184,0.3592,0.9153,0.5159
ALL (aggregated),0.65,,,2128,6596,44,0.2439,0.9797,0.3906
ALL (aggregated),0.60,,,2166,11616,6,0.1572,0.9972,0.2715
