category,threshold,n_tickets,n_clusters,tp,fp,fn,precision,recall,f1
Infrastructure,0.99,115,109,6,0,735,1.0000,0.0081,0.0161
Infrastructure,0.95,115,51,221,0,520,1.0000,0.2982,0.4595
Infrastructure,0.90,115,21,449,0,292,1.0000,0.6059,0.7546
Infrastructure,0.85,115,9,741,0,0,1.0000,1.0000,1.0000
Infrastructure,0.80,115,6,741,979,0,0.4308,1.0000,0.6022
Infrastructure,0.75,115,2,741,4068,0,0.1541,1.0000,0.2670
Infrastructure,0.70,115,1,741,5814,0,0.1130,1.0000,0.2031
Infrastructure,0.65,115,1,741,5814,0,0.1130,1.0000,0.2031
Infrastructure,0.60,115,1,741,5814,0,0.1130,1.0000,0.2031
Application,0.99,100,93,7,0,548,1.0000,0.0126,0.0249
Application,0.95,100,68,48,0,507,1.0000,0.0865,0.1592
Application,0.90,100,30,372,0,183,1.0000,0.6703,0.8026
Application,0.85,100,12,520,0,35,1.0000,0.9369,0.9674
Application,0.80,100,6,555,802,0,0.4090,1.0000,0.5805
Application,0.75,100,2,555,3495,0,0.1370,1.0000,0.2410
Application,0.70,100,1,555,4395,0,0.1121,1.0000,0.2016
Application,0.65,100,1,555,4395,0,0.1121,1.0000,0.2016
Application,0.60,100,1,555,4395,0,0.1121,1.0000,0.2016
Security,0.99,61,57,5,0,204,1.0000,0.0239,0.0467
Security,0.95,61,32,111,0,98,1.0000,0.5311,0.6937
Security,0.90,61,18,160,0,49,1.0000,0.7656,0.8672
Security,0.85,61,10,206,0,3,1.0000,0.9856,0.9928
Security,0.80,61,8,209,52,0,0.8008,1.0000,0.8894
Security,0.75,61,4,209,817,0,0.2037,1.0000,0.3385
Security,0.70,61,1,209,1621,0,0.1142,1.0000,0.2050
Security,0.65,61,1,209,1621,0,0.1142,1.0000,0.2050
Security,0.60,61,1,209,1621,0,0.1142,1.0000,0.2050
Database,0.99,49,49,0,0,85,N/A,0.0000,N/A
Database,0.95,49,43,9,0,76,1.0000,0.1059,0.1915
Database,0.90,49,33,34,0,51,1.0000,0.4000,0.5714
Database,0.85,49,17,73,0,12,1.0000,0.8588,0.9241
Database,0.80,49,3,85,587,0,0.1265,1.0000,0.2246
Database,0.75,49,1,85,1091,0,0.0723,1.0000,0.1348
Database,0.70,49,1,85,1091,0,0.0723,1.0000,0.1348
Database,0.65,49,1,85,1091,0,0.0723,1.0000,0.1348
Database,0.60,49,1,85,1091,0,0.0723,1.0000,0.1348
Storage,0.99,53,52,1,0,153,1.0000,0.0065,0.0129
Storage,0.95,53,31,64,0,90,1.0000,0.4156,0.5872
Storage,0.90,53,14,119,0,35,1.0000,0.7727,0.8718
Storage,0.85,53,9,154,0,0,1.0000,1.0000,1.0000
Storage,0.80,53,7,154,125,0,0.5520,1.0000,0.7113
Storage,0.75,53,5,154,295,0,0.3430,1.0000,0.5108
Storage,0.70,53,1,154,1224,0,0.1118,1.0000,0.2010
Storage,0.65,53,1,154,1224,0,0.1118,1.0000,0.2010
Storage,0.60,53,1,154,1224,0,0.1118,1.0000,0.2010
Network,0.99,74,71,3,0,309,1.0000,0.0096,0.0190
Network,0.95,74,55,28,0,284,1.0000,0.0897,0.1647
Network,0.90,74,23,201,0,111,1.0000,0.6442,0.7836
Network,0.85,74,10,304,0,8,1.0000,0.9744,0.9870
Network,0.80,74,7,312,249,0,0.5561,1.0000,0.7148
Network,0.75,74,5,312,908,0,0.2557,1.0000,0.4073
Network,0.70,74,1,312,2389,0,0.1155,1.0000,0.2071
Network,0.65,74,1,312,2389,0,0.1155,1.0000,0.2071
Network,0.60,74,1,312,2389,0,0.1155,1.0000,0.2071
Access Management,0.99,48,48,0,0,116,N/A,0.0000,N/A
Access Management,0.95,48,43,8,0,108,1.0000,0.0690,0.1290
Access Management,0.90,48,28,47,0,69,1.0000,0.4052,0.5767
Access Management,0.85,48,8,116,40,0,0.7436,1.0000,0.8529
Access Management,0.80,48,7,116,92,0,0.5577,1.0000,0.7160
Access Management,0.75,48,1,116,1012,0,0.1028,1.0000,0.1865
Access Management,0.70,48,1,116,1012,0,0.1028,1.0000,0.1865
Access Management,0.65,48,1,116,1012,0,0.1028,1.0000,0.1865
Access Management,0.60,48,1,116,1012,0,0.1028,1.0000,0.1865
ALL (aggregated),0.99,,,22,0,2150,1.0000,0.0101,0.0201
ALL (aggregated),0.95,,,489,0,1683,1.0000,0.2251,0.3675
ALL (aggregated),0.90,,,1382,0,790,1.0000,0.6363,0.7777
ALL (aggregated),0.85,,,2114,40,58,0.9814,0.9733,0.9773
ALL (aggregated),0.80,,,2172,2886,0,0.4294,1.0000,0.6008
ALL (aggregated),0.75,,,2172,11686,0,0.1567,1.0000,0.2710
ALL (aggregated),0.70,,,2172,17546,0,0.1102,1.0000,0.1984
ALL (aggregated),0.65,,,2172,17546,0,0.1102,1.0000,0.1984
ALL (aggregated),0.60,,,2172,17546,0,0.1102,1.0000,0.1984
