space,tier,alpha,clip,weighting,domain_auc,n_eff,max_weight_share,clip_value,coverage_benchmark,coverage_gap,coverage_sd,noise_band_2sd,gap_outside_band,delta_vs_unweighted,delta_outside_band,recovery_fraction_post_hoc,sets_identical_to_unweighted,mean_set_size,singleton_rate,empty_rate,full_rate,degenerate_reason,is_primary,post_hoc
n/a,tier1,0.05,n/a,unweighted,,175.0,0.005714285714285714,,0.8444444444444444,-0.10555555555555551,0.01647508942095828,0.03295017884191656,True,0.0,False,0.0,True,5.0,0.06666666666666667,0.0,0.24444444444444444,,False,False
bge,tier1,0.05,none,weighted,0.9907918367346938,145.01498865599234,0.01966189210075876,,0.9555555555555556,0.005555555555555647,0.01647508942095828,0.03295017884191656,False,0.11111111111111116,True,1.0526315789473693,False,6.0,0.044444444444444446,0.0,0.6444444444444445,domain AUC 0.9908 >= 0.95,False,False
bge,tier1,0.05,p95,weighted,0.9907918367346938,153.93147878786266,0.01109779067532803,0.9531514252741144,0.9555555555555556,0.005555555555555647,0.01647508942095828,0.03295017884191656,False,0.11111111111111116,True,1.0526315789473693,False,6.044444444444444,0.044444444444444446,0.0,0.6444444444444445,domain AUC 0.9908 >= 0.95,False,False
bge,tier1,0.05,p99,weighted,0.9907918367346938,148.67533802286124,0.015089541978855345,1.321736067854689,0.9555555555555556,0.005555555555555647,0.01647508942095828,0.03295017884191656,False,0.11111111111111116,True,1.0526315789473693,False,6.0,0.044444444444444446,0.0,0.6444444444444445,domain AUC 0.9908 >= 0.95,False,False
tfidf,tier1,0.05,none,weighted,0.929469387755102,124.4368300738608,0.019482212356028032,,0.8666666666666667,-0.08333333333333326,0.01647508942095828,0.03295017884191656,True,0.022222222222222254,False,0.21052631578947406,False,5.777777777777778,0.044444444444444446,0.0,0.5555555555555556,,False,False
tfidf,tier1,0.05,p95,weighted,0.929469387755102,129.13203289725715,0.014216001118375296,1.5337934982401253,0.8666666666666667,-0.08333333333333326,0.01647508942095828,0.03295017884191656,True,0.022222222222222254,False,0.21052631578947406,False,5.777777777777778,0.044444444444444446,0.0,0.5555555555555556,,False,False
tfidf,tier1,0.05,p99,weighted,0.929469387755102,125.30097049242818,0.017219306118670584,1.8872938928029708,0.8666666666666667,-0.08333333333333326,0.01647508942095828,0.03295017884191656,True,0.022222222222222254,False,0.21052631578947406,False,5.777777777777778,0.044444444444444446,0.0,0.5555555555555556,,False,False
n/a,tier1,0.1,n/a,unweighted,,175.0,0.005714285714285714,,0.6666666666666666,-0.2333333333333334,0.022677868380553634,0.04535573676110727,True,0.0,False,0.0,True,3.4,0.08888888888888889,0.0,0.022222222222222223,,True,False
bge,tier1,0.1,none,weighted,0.9907918367346938,145.01498865599234,0.01966189210075876,,0.7333333333333333,-0.16666666666666674,0.022677868380553634,0.04535573676110727,True,0.06666666666666665,True,0.2857142857142856,False,4.022222222222222,0.06666666666666667,0.0,0.1111111111111111,domain AUC 0.9908 >= 0.95,True,False
bge,tier1,0.1,p95,weighted,0.9907918367346938,153.93147878786266,0.01109779067532803,0.9531514252741144,0.7333333333333333,-0.16666666666666674,0.022677868380553634,0.04535573676110727,True,0.06666666666666665,True,0.2857142857142856,False,4.088888888888889,0.06666666666666667,0.0,0.1111111111111111,domain AUC 0.9908 >= 0.95,True,False
