tier,eval_set,rule,threshold,coverage,risk
tier1,benchmark45,aps,0.942899,0.022222,0.0
tier1,benchmark45,aps,0.805096,0.044444,0.5
tier1,benchmark45,aps,0.801385,0.066667,0.333333
tier1,benchmark45,aps,0.678762,0.088889,0.5
tier1,benchmark45,aps,0.658898,0.111111,0.6
tier1,benchmark45,aps,0.652612,0.133333,0.666667
tier1,benchmark45,aps,0.638969,0.155556,0.571429
tier1,benchmark45,aps,0.630786,0.177778,0.5
tier1,benchmark45,aps,0.618619,0.2,0.444444
tier1,benchmark45,aps,0.611099,0.222222,0.5
tier1,benchmark45,aps,0.608427,0.244444,0.454545
tier1,benchmark45,aps,0.589518,0.266667,0.5
tier1,benchmark45,aps,0.572019,0.288889,0.461538
tier1,benchmark45,aps,0.557171,0.311111,0.428571
tier1,benchmark45,aps,0.54577,0.333333,0.466667
tier1,benchmark45,aps,0.540966,0.355556,0.5
tier1,benchmark45,aps,0.529652,0.377778,0.470588
tier1,benchmark45,aps,0.523343,0.4,0.5
tier1,benchmark45,aps,0.521973,0.422222,0.526316
tier1,benchmark45,aps,0.519118,0.444444,0.55
tier1,benchmark45,aps,0.505938,0.466667,0.571429
tier1,benchmark45,aps,0.490971,0.488889,0.545455
tier1,benchmark45,aps,0.487325,0.511111,0.521739
tier1,benchmark45,aps,0.48534,0.533333,0.541667
tier1,benchmark45,aps,0.481264,0.555556,0.56
tier1,benchmark45,aps,0.476161,0.577778,0.576923
tier1,benchmark45,aps,0.469838,0.6,0.555556
tier1,benchmark45,aps,0.467485,0.622222,0.571429
tier1,benchmark45,aps,0.465978,0.644444,0.586207
tier1,benchmark45,aps,0.462472,0.666667,0.566667
tier1,benchmark45,aps,0.454631,0.688889,0.548387
tier1,benchmark45,aps,0.442122,0.711111,0.53125
tier1,benchmark45,aps,0.440355,0.733333,0.545455
tier1,benchmark45,aps,0.439907,0.755556,0.558824
tier1,benchmark45,aps,0.435394,0.777778,0.571429
tier1,benchmark45,aps,0.434937,0.8,0.583333
tier1,benchmark45,aps,0.434777,0.822222,0.567568
tier1,benchmark45,aps,0.395496,0.844444,0.578947
tier1,benchmark45,aps,0.395344,0.866667,0.589744
tier1,benchmark45,aps,0.387677,0.888889,0.6
tier1,benchmark45,aps,0.381211,0.911111,0.609756
tier1,benchmark45,aps,0.374745,0.933333,0.619048
tier1,benchmark45,aps,0.369064,0.955556,0.627907
tier1,benchmark45,aps,0.3617,0.977778,0.636364
tier1,benchmark45,aps,0.341287,1.0,0.644444
tier1,benchmark45,confidence,0.929638,0.022222,0.0
tier1,benchmark45,confidence,0.759935,0.044444,0.5
tier1,benchmark45,confidence,0.737856,0.066667,0.333333
tier1,benchmark45,confidence,0.548144,0.088889,0.5
tier1,benchmark45,confidence,0.487359,0.111111,0.6
tier1,benchmark45,confidence,0.472985,0.133333,0.5
tier1,benchmark45,confidence,0.456246,0.155556,0.428571
tier1,benchmark45,confidence,0.454951,0.177778,0.375
tier1,benchmark45,confidence,0.454704,0.2,0.333333
tier1,benchmark45,confidence,0.450022,0.222222,0.4
tier1,benchmark45,confidence,0.432072,0.244444,0.363636
tier1,benchmark45,confidence,0.404001,0.266667,0.416667
tier1,benchmark45,confidence,0.39414,0.288889,0.461538
tier1,benchmark45,confidence,0.38755,0.311111,0.428571
tier1,benchmark45,confidence,0.367847,0.333333,0.466667
tier1,benchmark45,confidence,0.349432,0.355556,0.5
