threshold,ood_leakage_rate,n_in_domain_proceed,n_in_domain_escalate,in_domain_proceed_rate
0.35,1.0,175,0,1.0
0.4,1.0,175,0,1.0
0.45,1.0,175,0,1.0
0.5,1.0,175,0,1.0
0.55,0.9555555555555556,175,0,1.0
0.6,0.8,175,0,1.0
0.61,0.6888888888888889,175,0,1.0
0.62,0.6,175,0,1.0
0.63,0.5333333333333333,175,0,1.0
0.64,0.4444444444444444,175,0,1.0
0.65,0.3777777777777777,175,0,1.0
0.66,0.2,175,0,1.0
0.67,0.1333333333333333,175,0,1.0
0.68,0.1333333333333333,174,1,0.9942857142857143
0.69,0.0666666666666666,172,3,0.9828571428571429
0.7,0.0444444444444444,168,7,0.96
0.75,0.0,95,80,0.5428571428571428
0.8,0.0,15,160,0.08571428571428572
0.85,0.0,2,173,0.011428571428571429
