test,window,rate_mean,rate_min,rate_max
conditional_binomial,25,0.011425,0.00915,0.01465
conditional_binomial,50,0.013999999999999999,0.00985,0.0173
conditional_binomial,100,0.01655,0.01275,0.02085
conditional_binomial,200,0.0185625,0.0164,0.02255
ks,25,0.07725,0.0747,0.07935
ks,50,0.1065,0.10345,0.109
ks,100,0.1816875,0.1753,0.18775
ks,200,0.331225,0.32495,0.33915
marginal_binomial,25,0.0377875,0.01465,0.0604
marginal_binomial,50,0.0515625,0.0437,0.069
marginal_binomial,100,0.0682375,0.05335,0.07955
marginal_binomial,200,0.1056,0.0773,0.12525
