signal,test,window,rate_min,rate_max,n_points,n_eligible,usable_as_an_alarm
A,conditional_binomial,25,0.00915,0.01465,4,4,True
A,conditional_binomial,50,0.00985,0.0173,4,4,True
A,conditional_binomial,100,0.01275,0.02085,4,4,True
A,conditional_binomial,200,0.0164,0.02255,4,4,True
A,ks,25,0.0747,0.07935,4,0,False
A,ks,50,0.10345,0.109,4,0,False
A,ks,100,0.1753,0.18775,4,0,False
A,ks,200,0.32495,0.33915,4,0,False
A,marginal_binomial,25,0.01465,0.0604,4,3,True
A,marginal_binomial,50,0.0437,0.069,4,2,True
A,marginal_binomial,100,0.05335,0.07955,4,0,False
A,marginal_binomial,200,0.0773,0.12525,4,0,False
B,category_chi_square,25,0.11875,0.11875,1,0,False
B,category_chi_square,50,0.16725,0.16725,1,0,False
B,category_chi_square,100,0.278,0.278,1,0,False
B,category_chi_square,200,0.45975,0.45975,1,0,False
B,escalation_binomial,25,0.047,0.047,1,0,False
B,escalation_binomial,50,0.08225,0.08225,1,0,False
B,escalation_binomial,100,0.1165,0.1165,1,0,False
B,escalation_binomial,200,0.169,0.169,1,0,False
B,escalation_fisher,25,0.0335,0.0335,1,1,True
B,escalation_fisher,50,0.04325,0.04325,1,0,False
B,escalation_fisher,100,0.05,0.05,1,0,False
B,escalation_fisher,200,0.04625,0.04625,1,0,False
B,tier1_binomial,25,0.04975,0.04975,1,0,False
B,tier1_binomial,50,0.0785,0.0785,1,0,False
B,tier1_binomial,100,0.114,0.114,1,0,False
B,tier1_binomial,200,0.16975,0.16975,1,0,False
B,tier1_fisher,25,0.02925,0.02925,1,1,True
B,tier1_fisher,50,0.03875,0.03875,1,1,True
B,tier1_fisher,100,0.04025,0.04025,1,1,True
B,tier1_fisher,200,0.04325,0.04325,1,0,False
