signal,test,alpha,window,n_windows,count,rate,ci_low,ci_high,expected_tickets_to_alarm,null_source,exact_marginal,at_conditional_bound,q90_over_references,undefined_p,eligible
A,marginal_binomial,0.01,25,20000,293,0.01465,0.0130307166490398,0.0164125230058143,1706.4846416382252,synthetic_exchangeable_n175,0.0150753768845145,0.0420161162659346,0.05,0,True
A,conditional_binomial,0.01,25,20000,293,0.01465,0.0130307166490398,0.0164125230058143,1706.4846416382252,synthetic_exchangeable_n175,0.0150753768845145,0.0420161162659346,0.05,0,True
A,ks,0.01,25,20000,1546,0.0773,0.0736353499158348,0.0810880761673204,323.41526520051747,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.05,25,20000,710,0.0355,0.0329782403287456,0.0381579202681446,704.2253521126761,synthetic_exchangeable_n175,0.0344619625987089,0.0803145160346848,0.1,0,True
A,conditional_binomial,0.05,25,20000,183,0.00915,0.0078771246426718,0.010568464065288,2732.24043715847,synthetic_exchangeable_n175,0.0088522702676849,0.022337955168417,0.05,0,True
A,ks,0.05,25,20000,1553,0.07765,0.0739776330074704,0.0814456886301316,321.9575016097875,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.1,25,20000,812,0.0406,0.0379067246938366,0.0434278346985659,615.7635467980296,synthetic_exchangeable_n175,0.0384312004141316,0.0854700400150763,0.1,0,True
A,conditional_binomial,0.1,25,20000,235,0.01175,0.0103028742526997,0.0133415387777851,2127.659574468085,synthetic_exchangeable_n175,0.0127920503223267,0.0307513481724269,0.05,0,True
A,ks,0.1,25,20000,1587,0.07935,0.0756404634155482,0.0831823511871369,315.05986137366097,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.2,25,20000,1208,0.0604,0.0571374980808744,0.063790999653111,413.9072847682119,synthetic_exchangeable_n175,0.056833480020878,0.1180041804191674,0.15,0,False
A,conditional_binomial,0.2,25,20000,203,0.01015,0.008807415342825,0.0116377023620107,2463.054187192118,synthetic_exchangeable_n175,0.0088247009919923,0.0209182392045272,0.05,0,True
A,ks,0.2,25,20000,1494,0.0747,0.0710933826309519,0.0784308199626935,334.6720214190093,synthetic_exchangeable_n175,,,0.15,0,False
A,marginal_binomial,0.01,50,20000,901,0.04505,0.0422167623304075,0.0480164170364129,1109.8779134295228,synthetic_exchangeable_n175,0.0486111111114575,0.1390529157443046,0.15,0,True
A,conditional_binomial,0.01,50,20000,197,0.00985,0.0085279419195924,0.0113173142248198,5076.142131979696,synthetic_exchangeable_n175,0.0104633781767403,0.027752282756829,0.05,0,True
A,ks,0.01,50,20000,2110,0.1055,0.1012751135877459,0.1098399455070029,473.9336492890996,synthetic_exchangeable_n175,,,0.2,0,False
A,marginal_binomial,0.05,50,20000,874,0.0437,0.0409083567906376,0.0466252398149031,1144.1647597254005,synthetic_exchangeable_n175,0.0432692121113348,0.1120962564363968,0.15,0,True
A,conditional_binomial,0.05,50,20000,338,0.0169,0.0151591067260471,0.0187832830626312,2958.579881656805,synthetic_exchangeable_n175,0.0172370311707437,0.0459947674725981,0.05,0,True
A,ks,0.05,50,20000,2180,0.109,0.1047130374942446,0.1134009883082816,458.7155963302752,synthetic_exchangeable_n175,,,0.2050000000000011,0,False
A,marginal_binomial,0.1,50,20000,1380,0.069,0.0655252106373934,0.0726006985821408,724.6376811594203,synthetic_exchangeable_n175,0.0709782568868514,0.1712889393018549,0.2,0,False
A,conditional_binomial,0.1,50,20000,346,0.0173,0.0155383957774435,0.019203846955831,2890.1734104046245,synthetic_exchangeable_n175,0.0167883323282097,0.0440048464058181,0.05,0,True
A,ks,0.1,50,20000,2069,0.10345,0.0992621483831201,0.1077535163439516,483.3252779120348,synthetic_exchangeable_n175,,,0.2,0,False
A,marginal_binomial,0.2,50,20000,970,0.0485,0.0455636136767536,0.051568504268441,1030.9278350515465,synthetic_exchangeable_n175,0.0480845705455919,0.1179558331515659,0.15,0,False
A,conditional_binomial,0.2,50,20000,239,0.01195,0.010490337699235,0.013553990646185,4184.100418410042,synthetic_exchangeable_n175,0.0137965468163819,0.0356757673445888,0.05,0,True
A,ks,0.2,50,20000,2161,0.10805,0.1037797455190564,0.1124345606625634,462.7487274409996,synthetic_exchangeable_n175,,,0.2,0,False
A,marginal_binomial,0.01,100,20000,1067,0.05335,0.0502755628628886,0.0565550729461516,1874.414245548266,synthetic_exchangeable_n175,0.0471645143177545,0.1434743560434094,0.2,0,False
A,conditional_binomial,0.01,100,20000,417,0.02085,0.0189146821369185,0.0229262953030096,4796.163069544365,synthetic_exchangeable_n175,0.0168196981206437,0.0426895195949986,0.05,0,True
A,ks,0.01,100,20000,3755,0.18775,0.1823585529479744,0.1932323679039765,532.6231691078561,synthetic_exchangeable_n175,,,0.4,0,False
A,marginal_binomial,0.05,100,20000,1591,0.07955,0.0758361241564658,0.0833866308240253,1257.071024512885,synthetic_exchangeable_n175,0.0775861509148104,0.218789397993099,0.25,0,False
A,conditional_binomial,0.05,100,20000,255,0.01275,0.0112412470414106,0.0144027488247039,7843.137254901962,synthetic_exchangeable_n175,0.0129718695693993,0.0332528338106105,0.05,0,True
A,ks,0.05,100,20000,3608,0.1804,0.175092660398044,0.1858004094150613,554.3237250554323,synthetic_exchangeable_n175,,,0.35,0,False
A,marginal_binomial,0.1,100,20000,1384,0.0692,0.065720472451532,0.0728053767774745,1445.0867052023125,synthetic_exchangeable_n175,0.0671015258709921,0.1876230878580039,0.2,0,False
A,conditional_binomial,0.1,100,20000,348,0.0174,0.0156332574794418,0.0193089486551033,5747.126436781609,synthetic_exchangeable_n175,0.0161594076104505,0.0430720347844328,0.05,0,True
A,ks,0.1,100,20000,3506,0.1753,0.1700529465591535,0.1806416149873998,570.4506560182543,synthetic_exchangeable_n175,,,0.35,0,False
A,marginal_binomial,0.2,100,20000,1417,0.07085,0.0673317028416433,0.0744936517812706,1411.4326040931546,synthetic_exchangeable_n175,0.0695576522956078,0.191367718970742,0.2,0,False
A,conditional_binomial,0.2,100,20000,304,0.0152,0.0135501352133067,0.0169928927374668,6578.9473684210525,synthetic_exchangeable_n175,0.0145474553338169,0.0385348953541056,0.05,0,True
A,ks,0.2,100,20000,3666,0.1833,0.1779590904026621,0.1887331314000901,545.5537370430987,synthetic_exchangeable_n175,,,0.35,0,False
A,marginal_binomial,0.01,200,20000,1546,0.0773,0.0736353499158348,0.0810880761673204,2587.32212160414,synthetic_exchangeable_n175,0.0797737204370679,0.2665519494060868,0.3,0,False
A,conditional_binomial,0.01,200,20000,451,0.02255,0.0205370682013087,0.0247033232831118,8869.179600886917,synthetic_exchangeable_n175,0.0222113469448923,0.0489268106555582,0.05,0,True
A,ks,0.01,200,20000,6783,0.33915,0.3325876120298022,0.345759174475845,589.7095680377414,synthetic_exchangeable_n175,,,0.65,0,False
A,marginal_binomial,0.05,200,20000,2058,0.1029,0.0987221716995236,0.1071936555693985,1943.634596695821,synthetic_exchangeable_n175,0.1107445988859999,0.3499122495541307,0.35,0,False
A,conditional_binomial,0.05,200,20000,341,0.01705,0.0153013102435063,0.0189410242734558,11730.205278592375,synthetic_exchangeable_n175,0.0190551264336642,0.0445435869132392,0.05,0,True
A,ks,0.05,200,20000,6668,0.3334,0.326866062673466,0.3399823973633289,599.880023995201,synthetic_exchangeable_n175,,,0.65,0,False
A,marginal_binomial,0.1,200,20000,2505,0.12525,0.1206923379035916,0.129916900543976,1596.8063872255489,synthetic_exchangeable_n175,0.1229794248335193,0.3800622973261266,0.4,0,False
A,conditional_binomial,0.1,200,20000,365,0.01825,0.0164401952142287,0.0202017023335668,10958.904109589042,synthetic_exchangeable_n175,0.0179342575563336,0.04229271311917,0.05,0,True
A,ks,0.1,200,20000,6499,0.32495,0.3184598608087012,0.3314910588153747,615.4793045083859,synthetic_exchangeable_n175,,,0.65,0,False
A,marginal_binomial,0.2,200,20000,2339,0.11695,0.1125271585223362,0.1214845232554743,1710.1325352714837,synthetic_exchangeable_n175,0.1214690259574364,0.371932040480277,0.4,0,False
A,conditional_binomial,0.2,200,20000,328,0.0164,0.0146853608109886,0.018257214357456,12195.121951219511,synthetic_exchangeable_n175,0.0160894992141276,0.0376089796704525,0.05,0,True
A,ks,0.2,200,20000,6548,0.3274,0.320896916196179,0.3339532902646072,610.8735491753207,synthetic_exchangeable_n175,,,0.6,0,False
B,escalation_binomial,,25,4000,188,0.047,0.0406494269447527,0.054022287559801,531.9148936170212,parametric_deployment_reference,,,,0,False
B,escalation_fisher,,25,4000,134,0.0335,0.0281417963692238,0.039552865745627,746.2686567164179,parametric_deployment_reference,,,,0,True
B,tier1_binomial,,25,4000,199,0.04975,0.0432180102631001,0.0569491979951962,502.5125628140704,parametric_deployment_reference,,,,0,False
B,tier1_fisher,,25,4000,117,0.02925,0.0242492562108418,0.0349530688009751,854.7008547008546,parametric_deployment_reference,,,,0,True
B,category_chi_square,,25,4000,475,0.11875,0.1088811592233289,0.1291794318119241,210.5263157894737,parametric_deployment_reference,,,,0,False
B,escalation_binomial,,50,4000,329,0.08225,0.0739181921859245,0.0911978142205087,607.90273556231,parametric_deployment_reference,,,,0,False
B,escalation_fisher,,50,4000,173,0.04325,0.0371568986456956,0.0500210355032369,1156.0693641618498,parametric_deployment_reference,,,,0,False
B,tier1_binomial,,50,4000,314,0.0785,0.0703502833012696,0.0872715039165219,636.9426751592357,parametric_deployment_reference,,,,0,False
B,tier1_fisher,,50,4000,155,0.03875,0.0329831561322412,0.0452023813103665,1290.3225806451612,parametric_deployment_reference,,,,0,True
B,category_chi_square,,50,4000,669,0.16725,0.1558058716063302,0.1791823585446147,298.9536621823617,parametric_deployment_reference,,,,0,False
B,escalation_binomial,,100,4000,466,0.1165,0.1067155402247795,0.1268484345019631,858.3690987124463,parametric_deployment_reference,,,,0,False
B,escalation_fisher,,100,4000,200,0.05,0.0434518076809635,0.0572149929617257,2000.0,parametric_deployment_reference,,,,0,False
B,tier1_binomial,,100,4000,456,0.114,0.1043106914570378,0.1242570467556109,877.1929824561403,parametric_deployment_reference,,,,0,False
B,tier1_fisher,,100,4000,161,0.04025,0.0343721436895423,0.04681084007461,2484.472049689441,parametric_deployment_reference,,,,0,True
B,category_chi_square,,100,4000,1112,0.278,0.2641573996279799,0.2921675713077529,359.71223021582733,parametric_deployment_reference,,,,0,False
B,escalation_binomial,,200,4000,676,0.169,0.1575064831429792,0.1809791512031363,1183.431952662722,parametric_deployment_reference,,,,0,False
B,escalation_fisher,,200,4000,185,0.04625,0.0399499568937013,0.0532229942103149,4324.324324324324,parametric_deployment_reference,,,,0,False
B,tier1_binomial,,200,4000,679,0.16975,0.1582354549740858,0.1817490671257277,1178.20324005891,parametric_deployment_reference,,,,0,False
B,tier1_fisher,,200,4000,173,0.04325,0.0371568986456956,0.0500210355032369,4624.277456647399,parametric_deployment_reference,,,,0,False
B,category_chi_square,,200,4000,1839,0.45975,0.4442145825245792,0.4753442671427875,435.0190320826536,parametric_deployment_reference,,,,0,False
