model,threshold,tp,fp,fn,precision,recall
BAAI/bge-base-en-v1.5,0.99,44,0,4300,1.0,0.010128913443830571
BAAI/bge-base-en-v1.5,0.95,978,0,3366,1.0,0.22513812154696133
BAAI/bge-base-en-v1.5,0.9,2764,0,1580,1.0,0.6362799263351749
BAAI/bge-base-en-v1.5,0.85,4228,80,116,0.9814298978644382,0.9732965009208103
BAAI/bge-base-en-v1.5,0.8,4344,5772,0,0.4294187425860024,1.0
BAAI/bge-base-en-v1.5,0.75,4344,23372,0,0.1567325732428922,1.0
BAAI/bge-base-en-v1.5,0.7,4344,35092,0,0.11015315954965006,1.0
BAAI/bge-base-en-v1.5,0.65,4344,35092,0,0.11015315954965006,1.0
BAAI/bge-base-en-v1.5,0.6,4344,35092,0,0.11015315954965006,1.0
all-MiniLM-L6-v2,0.99,28,0,4316,1.0,0.006445672191528545
all-MiniLM-L6-v2,0.95,358,0,3986,1.0,0.08241252302025782
all-MiniLM-L6-v2,0.9,992,0,3352,1.0,0.2283609576427256
all-MiniLM-L6-v2,0.85,1560,0,2784,1.0,0.35911602209944754
all-MiniLM-L6-v2,0.8,2334,0,2010,1.0,0.537292817679558
all-MiniLM-L6-v2,0.75,2940,910,1404,0.7636363636363637,0.6767955801104972
all-MiniLM-L6-v2,0.7,3976,7094,368,0.3591689250225836,0.9152854511970534
all-MiniLM-L6-v2,0.65,4256,13192,88,0.24392480513525905,0.9797421731123389
all-MiniLM-L6-v2,0.6,4332,23232,12,0.15716151501959078,0.9972375690607734
