threshold,n_in_domain_proceed,n_in_domain_escalate,ood_leakage_rate,precision_combined,recall_combined,f1_combined,is_live_gate
0.85,2,173,0.0,1.0,0.017094017094017,0.0336134453781512,False
0.8,15,160,0.0,0.9333333333333332,0.1196581196581196,0.2121212121212121,False
0.75,95,80,0.0,0.7368421052631579,0.5982905982905983,0.660377358490566,False
0.7,168,7,0.0444444444444444,0.6588235294117647,0.9572649572649572,0.7804878048780487,False
0.69,172,3,0.0666666666666666,0.6514285714285715,0.9743589743589745,0.7808219178082192,False
0.68,174,1,0.1333333333333333,0.6444444444444445,0.9914529914529916,0.7811447811447813,False
0.67,175,0,0.1333333333333333,0.6464088397790055,1.0,0.785234899328859,True
0.66,175,0,0.2,0.6358695652173914,1.0,0.7774086378737541,False
0.65,175,0,0.3777777777777777,0.609375,1.0,0.7572815533980582,False
0.64,175,0,0.4444444444444444,0.6,1.0,0.7499999999999999,False
0.63,175,0,0.5333333333333333,0.5879396984924623,1.0,0.740506329113924,False
0.62,175,0,0.6,0.5792079207920792,1.0,0.7335423197492162,False
0.61,175,0,0.6888888888888889,0.5679611650485437,1.0,0.7244582043343653,False
0.6,175,0,0.8,0.5545023696682464,1.0,0.7134146341463413,False
0.55,175,0,0.9555555555555556,0.536697247706422,1.0,0.6985074626865672,False
0.5,175,0,1.0,0.5318181818181819,1.0,0.6943620178041544,False
0.45,175,0,1.0,0.5318181818181819,1.0,0.6943620178041544,False
0.4,175,0,1.0,0.5318181818181819,1.0,0.6943620178041544,False
0.35,175,0,1.0,0.5318181818181819,1.0,0.6943620178041544,False
