Arm,Set,Category,Support,Recall,Precision,Predicted
zero-shot Gemini flash-lite,benchmark14,Access Management,2,1.000,1.000,
zero-shot Gemini flash-lite,benchmark14,Application,2,1.000,1.000,
zero-shot Gemini flash-lite,benchmark14,Database,2,1.000,1.000,
zero-shot Gemini flash-lite,benchmark14,Infrastructure,2,1.000,1.000,
zero-shot Gemini flash-lite,benchmark14,Network,2,1.000,1.000,
zero-shot Gemini flash-lite,benchmark14,Security,2,1.000,1.000,
zero-shot Gemini flash-lite,benchmark14,Storage,2,1.000,1.000,
zero-shot Gemini flash-lite,benchmark45,Access Management,7,1.000,1.000,
zero-shot Gemini flash-lite,benchmark45,Application,7,1.000,0.636,
zero-shot Gemini flash-lite,benchmark45,Database,5,0.600,1.000,
zero-shot Gemini flash-lite,benchmark45,Infrastructure,6,0.500,1.000,
zero-shot Gemini flash-lite,benchmark45,Network,7,1.000,0.875,
zero-shot Gemini flash-lite,benchmark45,Security,6,1.000,1.000,
zero-shot Gemini flash-lite,benchmark45,Storage,7,1.000,1.000,
zero-shot Qwen2.5-3B,benchmark14,Access Management,2,1.000,1.000,
zero-shot Qwen2.5-3B,benchmark14,Application,2,1.000,0.667,
zero-shot Qwen2.5-3B,benchmark14,Database,2,0.000,--,0
zero-shot Qwen2.5-3B,benchmark14,Infrastructure,2,1.000,1.000,
zero-shot Qwen2.5-3B,benchmark14,Network,2,1.000,0.667,
zero-shot Qwen2.5-3B,benchmark14,Security,2,1.000,1.000,
zero-shot Qwen2.5-3B,benchmark14,Storage,2,1.000,1.000,
zero-shot Qwen2.5-3B,benchmark45,Access Management,7,0.857,0.857,
zero-shot Qwen2.5-3B,benchmark45,Application,7,1.000,0.467,
zero-shot Qwen2.5-3B,benchmark45,Database,5,0.000,--,0
zero-shot Qwen2.5-3B,benchmark45,Infrastructure,6,0.500,1.000,
zero-shot Qwen2.5-3B,benchmark45,Network,7,1.000,0.875,
zero-shot Qwen2.5-3B,benchmark45,Security,6,0.833,1.000,
zero-shot Qwen2.5-3B,benchmark45,Storage,7,0.857,0.857,
